46,Pau Gasol,C,35,CHI,0.469,0.348,0.478,0.792,2.2,8.9,4.1,0.6,2,2.3,16.5
47,Derrick Favors,PF,24,UTA,0.515,0,0.518,0.709,2.7,5.4,1.5,1.2,1.5,1.7,16.4
48,Derrick Rose,PG,27,CHI,0.427,0.293,0.449,0.793,0.7,2.7,4.7,0.7,0.2,2.7,16.4
49,J.J. Redick,SG,31,LAC,0.48,0.475,0.484,0.888,0.1,1.7,1.4,0.6,0.1,1,16.3
50,Andre Drummond,C,22,DET,0.521,0.333,0.522,0.355,4.9,9.9,0.8,1.5,1.4,1.9,16.2
51,Kevin Love,PF,27,CLE,0.419,0.36,0.467,0.822,1.9,8,2.4,0.8,0.5,1.8,16
52,Victor Oladipo,SG,23,ORL,0.438,0.348,0.475,0.83,0.7,4.1,3.9,1.6,0.8,2.1,16
53,Jeff Teague,PG,27,ATL,0.439,0.4,0.454,0.837,0.4,2.3,5.9,1.2,0.3,2.8,15.7
54,Jordan Clarkson,SG,23,LAL,0.433,0.347,0.468,0.804,1.2,2.8,2.4,1.1,0.1,1.7,15.5
55,Evan Fournier,SF,23,ORL,0.462,0.4,0.506,0.836,0.4,2.4,2.7,1.2,0,1.7,15.4
56,Mike Conley,PG,28,MEM,0.422,0.363,0.449,0.834,0.5,2.5,6.1,1.2,0.3,1.5,15.3
57,Greg Monroe,C,25,MIL,0.522,0,0.522,0.74,2.8,6.1,2.3,0.9,0.8,1.6,15.3
58,Zach Randolph,PF,34,MEM,0.475,0.231,0.482,0.796,2.6,5.1,2.1,0.6,0.2,1.5,15.3
59,Lou Williams,SG,29,LAL,0.408,0.344,0.464,0.83,0.5,2.1,2.5,0.9,0.3,1.6,15.3
60,Avery Bradley,SG,25,BOS,0.447,0.361,0.505,0.78,0.6,2.3,2.1,1.5,0.3,1.4,15.2
61,Tyreke Evans,SG,26,NOP,0.433,0.388,0.45,0.796,0.8,4.4,6.6,1.3,0.3,2.9,15.2
62,Eric Gordon,SG,27,NOP,0.418,0.384,0.457,0.888,0.2,2,2.7,1,0.3,1.6,15.2
63,Al Horford,C,29,ATL,0.505,0.344,0.557,0.798,1.8,5.5,3.2,0.8,1.5,1.3,15.2
64,Thaddeus Young,PF,27,BRK,0.514,0.233,0.523,0.644,2.4,6.6,1.8,1.5,0.5,1.9,15.1
65,Nicolas Batum,SF,27,CHO,0.426,0.348,0.492,0.849,0.8,5.3,5.8,0.9,0.6,2.9,14.9
66,Tobias Harris,PF,23,TOT,0.469,0.335,0.518,0.831,1.3,5.4,2.2,0.9,0.5,1.4,14.7
67,Kentavious Caldwell-Pope,SG,22,DET,0.42,0.309,0.489,0.811,0.9,2.8,1.8,1.4,0.2,1.4,14.5
68,Rodney Hood,SG,23,UTA,0.42,0.359,0.472,0.86,0.5,2.9,2.7,0.9,0.2,1.6,14.5
69,Will Barton,SG,25,DEN,0.432,0.345,0.476,0.806,0.7,5.1,2.5,0.9,0.5,1.7,14.4
70,Kristaps Porzingis,PF,20,NYK,0.421,0.333,0.454,0.838,1.8,5.5,1.3,0.7,1.9,1.7,14.3
71,Jamal Crawford,SG,35,LAC,0.404,0.34,0.44,0.904,0.3,1.6,2.3,0.7,0.2,1.4,14.2
72,Jae Crowder,SF,25,BOS,0.443,0.336,0.529,0.82,1,4.2,1.8,1.7,0.5,1.1,14.2
73,Hassan Whiteside,C,26,MIA,0.606,,0.606,0.65,3.3,8.6,0.4,0.6,3.7,1.9,14.2
74,Goran Dragic,PG,29,MIA,0.477,0.312,0.527,0.727,0.8,3.1,5.8,1,0.2,2.6,14.1
75,Marcus Morris,SF,26,DET,0.434,0.362,0.467,0.749,1.1,3.9,2.5,0.8,0.3,1.8,14.1
76,Jabari Parker,PF,20,MIL,0.493,0.257,0.502,0.768,1.6,3.6,1.7,0.9,0.4,1.5,14.1
77,Deron Williams,PG,31,DAL,0.414,0.344,0.454,0.869,0.3,2.6,5.8,0.9,0.2,2.3,14.1
78,Darren Collison,PG,28,SAC,0.486,0.401,0.519,0.858,0.4,1.9,4.3,1,0.1,1.8,14
79,Draymond Green,PF,25,GSW,0.49,0.388,0.537,0.696,1.7,7.8,7.4,1.5,1.4,3.2,14
80,Zach LaVine,SG,20,MIN,0.452,0.389,0.482,0.793,0.3,2.5,3.1,0.8,0.2,1.9,14
81,Devin Booker,SG,19,PHO,0.423,0.343,0.464,0.84,0.4,2.1,2.6,0.6,0.3,2.1,13.8
82,Monta Ellis,SG,30,IND,0.427,0.309,0.472,0.786,0.5,2.8,4.7,1.9,0.5,2.5,13.8
83,Dwight Howard,C,30,HOU,0.62,0,0.626,0.489,3.4,8.4,1.4,1,1.6,2.3,13.7
84,Chandler Parsons,SF,27,DAL,0.492,0.414,0.54,0.684,0.5,4.2,2.8,0.8,0.3,1.6,13.7
85,Marcin Gortat,C,31,WAS,0.567,0,0.567,0.705,3,6.9,1.4,0.6,1.3,1.6,13.5
86,Alec Burks,SG,24,UTA,0.41,0.405,0.412,0.752,0.5,3,2,0.6,0.1,1.6,13.3
87,D'Angelo Russell,PG,19,LAL,0.41,0.351,0.447,0.737,0.6,2.8,3.3,1.2,0.2,2.5,13.2
88,Dahntay Jones,SF,35,CLE,0.429,0.5,0.417,,1,4,2,1,2,0,13
89,Arron Afflalo,SG,30,NYK,0.443,0.382,0.469,0.84,0.3,3.4,2,0.4,0.1,1.2,12.8
90,Michael Beasley,SF,27,HOU,0.522,0.333,0.531,0.776,1.5,3.5,0.8,0.6,0.5,1.2,12.8
91,Robert Covington,SF,25,PHI,0.385,0.353,0.452,0.791,1,5.3,1.4,1.6,0.6,2.1,12.8
92,Jarrett Jack,PG,32,BRK,0.391,0.304,0.426,0.893,0.3,4,7.4,1.1,0.2,2.9,12.8
93,Emmanuel Mudiay,PG,19,DEN,0.364,0.319,0.379,0.67,0.5,2.9,5.5,1,0.5,3.2,12.8
94,Jonas Valanciunas,C,23,TOR,0.565,,0.565,0.761,3.1,6.1,0.7,0.4,1.3,1.4,12.8
95,Trevor Ariza,SF,30,HOU,0.416,0.371,0.478,0.783,0.8,3.7,2.3,2,0.3,1.4,12.7
96,DeAndre Jordan,C,27,LAC,0.703,0,0.704,0.43,3.5,10.3,1.2,0.7,2.3,1.4,12.7
97,Enes Kanter,C,23,OKC,0.576,0.476,0.579,0.797,3,5.1,0.4,0.3,0.4,1.4,12.7
98,Michael Kidd-Gilchrist,SF,22,CHO,0.541,0.429,0.556,0.69,1.7,4.7,1.3,0.4,0.4,1.1,12.7
99,Serge Ibaka,PF,26,OKC,0.479,0.326,0.52,0.752,1.8,5,0.8,0.5,1.9,1.4,12.6
100,Ish Smith,PG,27,TOT,0.411,0.329,0.428,0.693,0.6,3.4,6.5,1.1,0.3,2.3,12.6
101,Kenneth Faried,PF,26,DEN,0.558,0.5,0.558,0.613,3.5,5.2,1.2,0.5,0.9,1.4,12.5
102,Wesley Matthews,SG,29,DAL,0.388,0.36,0.432,0.863,0.3,2.7,1.9,1,0.2,1,12.5
103,J.R. Smith,SG,30,CLE,0.415,0.4,0.438,0.634,0.6,2.3,1.7,1.1,0.3,0.8,12.4
104,Luol Deng,PF,30,MIA,0.455,0.344,0.513,0.755,1.5,4.5,1.9,1,0.4,1.1,12.3
105,Gary Harris,SG,21,DEN,0.469,0.354,0.543,0.82,0.7,2.2,1.9,1.3,0.2,1.3,12.3
106,Joe Johnson,SF,34,TOT,0.439,0.383,0.471,0.831,0.6,3,3.9,0.8,0,2,12.2
107,Mirza Teletovic,PF,30,PHO,0.427,0.393,0.476,0.774,0.7,3.1,1.1,0.4,0.3,1.1,12.2
108,George Hill,PG,29,IND,0.441,0.408,0.466,0.76,0.8,3.2,3.5,1.1,0.2,1.4,12.1
109,Al Jefferson,C,31,CHO,0.485,,0.485,0.649,1.2,5.2,1.5,0.6,0.9,0.7,12
110,Markieff Morris,PF,26,TOT,0.425,0.303,0.458,0.735,1.1,4.4,1.9,0.9,0.5,2.1,12
111,Tony Parker,PG,33,SAS,0.493,0.415,0.501,0.76,0.2,2.2,5.3,0.8,0.2,1.8,11.9
112,Rajon Rondo,PG,29,SAC,0.454,0.365,0.479,0.58,1.1,5,11.7,2,0.1,3.9,11.9
113,Omri Casspi,SF,27,SAC,0.481,0.409,0.537,0.648,0.8,5.1,1.4,0.8,0.2,1.4,11.8
114,C.J. Miles,SF,28,IND,0.409,0.367,0.474,0.75,0.4,2.3,1,0.8,0.5,1.1,11.8
115,Nikola Mirotic,PF,24,CHI,0.407,0.39,0.43,0.807,0.9,4.6,1.5,0.9,0.7,1.5,11.8
